Hub,Time_Min,Avg_Distance_m,Max_Distance_m
Hamburg Hauptbahnhof,5,211.3609797684099,455.3114710724733
Hamburg Hauptbahnhof,10,1163.365529078573,2954.9043413137247
Hamburg Hauptbahnhof,15,2128.3837527340465,3438.5301076539677
Jungfernstieg,5,420.41526736517096,812.4323281995312
Jungfernstieg,10,1121.0964686404263,2770.49585352836
Jungfernstieg,15,2257.1349544279883,3731.7491342634607
Universität Hamburg,5,328.86562443735835,659.5786373039314
Universität Hamburg,10,1091.4419717225662,2079.526757567466
Universität Hamburg,15,1939.0350095068068,3065.378351267277
Sternschanze,5,587.5815786005625,1411.7563306680058
Sternschanze,10,1216.0009678556473,1828.461281914345
Sternschanze,15,2030.9396874564743,2890.427909146511
Bahnhof Altona,5,422.3626276839399,768.632266404096
Bahnhof Altona,10,1238.1288454703815,2541.0179777815397
Bahnhof Altona,15,2091.4720343010704,2976.8379363490117
Hamburg Harburg,5,1061.4888620767638,2333.3609575450523
Hamburg Harburg,10,2021.7133158351032,3628.8707350011114
Hamburg Harburg,15,2490.5616637871835,3891.0141995240097
Hafencity,5,348.8925179610223,667.9514199757054
Hafencity,10,1217.012411934622,2354.002010491886
Hafencity,15,2217.8664026608285,3269.622023712939
