Hub,Time_Min,Avg_Distance_m,Max_Distance_m
Hamburg Hauptbahnhof,5,186.28835341735015,348.4003125044331
Hamburg Hauptbahnhof,10,460.24326352351926,651.3872330207126
Hamburg Hauptbahnhof,15,697.060850773668,954.3770330073619
Jungfernstieg,5,184.97304616067925,307.5544406418561
Jungfernstieg,10,455.20149009597617,628.3132303309596
Jungfernstieg,15,716.1876610380733,958.1753100615622
Universität Hamburg,5,170.08847602152215,331.84037470399875
Universität Hamburg,10,428.35876492749804,711.3986059048611
Universität Hamburg,15,678.4073915967916,1037.2911972770153
Sternschanze,5,204.00315257656425,347.51732984899115
Sternschanze,10,468.3457141709122,694.4774865147677
Sternschanze,15,751.1949929504865,1095.694908771055
Bahnhof Altona,5,187.48455216289184,332.8833173299501
Bahnhof Altona,10,451.7031877798958,651.8800701940726
Bahnhof Altona,15,743.7469169065959,1013.926029694384
Hamburg Harburg,5,183.83394279740497,339.2438435316118
Hamburg Harburg,10,442.19358474660896,715.8095536427264
Hamburg Harburg,15,753.763897858849,1075.4444409009052
Hafencity,5,190.94117391576245,308.8187548399719
Hafencity,10,448.269083301871,715.7520638400902
Hafencity,15,723.3960436221602,1069.5063794338816
Wilhelmsburg,5,204.2132167658343,477.04927399199397
Wilhelmsburg,10,458.9745725384368,997.6046127599533
Wilhelmsburg,15,714.2757879714712,1304.4673109635323
Eppendorf,5,203.03573949318854,315.4804547272574
Eppendorf,10,458.3444376131788,713.8793186330035
Eppendorf,15,751.1151033145956,1021.0820442676044
Winterhude,5,203.35960945029058,339.0385646568496
Winterhude,10,433.36615911956824,638.4620536592946
Winterhude,15,711.7460148903357,1066.3931887790545
Wandsbek Markt,5,179.69592965933032,291.2936056315775
Wandsbek Markt,10,420.6777428992233,691.2822695612451
Wandsbek Markt,15,686.2910077016485,1015.1740984850956
Barmbek,5,176.50518678136115,323.0731024707598
Barmbek,10,396.8144367982241,607.7578808624311
Barmbek,15,684.9550006128718,997.8004344845411
Bergedorf,5,177.92135953206216,322.4424312600866
Bergedorf,10,418.71925535007307,708.5445789859808
Bergedorf,15,803.811645844056,1383.2012882007216
Eimsbüttel,5,180.02054276103422,313.6842071488982
Eimsbüttel,10,424.5977132488237,629.848422540444
Eimsbüttel,15,729.8116266703889,1001.6289523400637
